NAME,LATITUDE,LONGITUDE,HEIGHT (m),TIMEZONE
Kitt Peak National Observatory,31.9648,248.4005,2100,US/Arizona
Cerro Tololo Interamerican Observatory,-30.1732,289.1965,2200,Chile/Continental
Lick Observatory,37.3414,238.3571,1300,US/Pacific
"Roque de los Muchachos, La Palma",28.7134,342.0942,2270,Atlantic/Canary
McDonald Observatory,30.6797,255.9753,2100,US/Central
Las Campanas Observatory,-29.0182,289.3085,2400,Chile/Continental
Keck Observatory,20.0243,204.3345,4150,US/Hawaii
Lowell Observatory,42.6334,288.6838,2210,US/Arizona
South Africa Astronomical Observatory,-33.9345,18.4771,1770,Africa/Johannesburg
Mount Graham,32.7017,250.1285,3270,US/Mountain
" Gemini North, Subaru Telescope",19.8255,204.5239,4140,US/Hawaii
Gemini South Telescope (Cerro Pachon),-30.2407,289.2633,2740,Chile/Continental
